You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
Parsed arguments:
 +--------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data_dir                                               | peft_type | task            | batch_size | epochs | lr    | seed | add_prefix | device | save_freq | num_virtual_tokens | balance | r | la | sep_tok |
+--------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data/datasets/entity_matching/structured/Fodors-Zagats | lora      | entity_matching | 8          | 100    | 0.001 | 1234 | False      | cuda   | 10        | 50                 | False   | 8 | 8  | .       |
+--------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
trainable params: 2,359,296 || all params: 740,027,392 || trainable%: 0.31881198257050464
Epoch: 0 | Train Loss: 1.2971 | Val Loss: 0.0343 | Train Acc: 0.7302 | Val Acc: 0.9789 | Train F1: 0.0003 | Val F1: 0.9000 | Train Time: 41.63845872879028 secs
Saving model with validation F1: 0.9 at epoch: 0
Epoch: 1 | Train Loss: 0.0157 | Val Loss: 0.0001 | Train Acc: 0.9877 | Val Acc: 1.0000 | Train F1: 0.9440 | Val F1: 1.0000 | Train Time: 26.703084468841553 secs
Saving model with validation F1: 1.0 at epoch: 1
Epoch: 2 | Train Loss: 0.0005 | Val Loss: 0.0001 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 26.84504461288452 secs
Epoch: 3 | Train Loss: 0.0003 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 26.832865715026855 secs
Epoch: 4 | Train Loss: 0.0003 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 26.855130910873413 secs
Epoch: 5 | Train Loss: 0.0005 | Val Loss: 0.0016 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 27.067338943481445 secs
Epoch: 6 | Train Loss: 0.0059 | Val Loss: 0.0000 | Train Acc: 0.9965 | Val Acc: 1.0000 | Train F1: 0.9848 | Val F1: 1.0000 | Train Time: 26.97364377975464 secs
Epoch: 7 | Train Loss: 0.0002 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 27.027893781661987 secs
Epoch: 8 | Train Loss: 0.0002 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 27.04016923904419 secs
Epoch: 9 | Train Loss: 0.0723 | Val Loss: 0.0320 | Train Acc: 0.9630 | Val Acc: 0.9895 | Train F1: 0.8372 | Val F1: 0.9565 | Train Time: 27.098002195358276 secs
Epoch: 10 | Train Loss: 0.0111 | Val Loss: 0.0010 | Train Acc: 0.9982 | Val Acc: 1.0000 | Train F1: 0.9924 | Val F1: 1.0000 | Train Time: 27.24623727798462 secs
Epoch: 11 | Train Loss: 0.0009 | Val Loss: 0.0001 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 27.7372727394104 secs
Epoch: 12 | Train Loss: 0.0003 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 27.39755630493164 secs
Epoch: 13 | Train Loss: 0.0002 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 27.56919002532959 secs
Epoch: 14 | Train Loss: 0.0001 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 27.82717275619507 secs
Epoch: 15 | Train Loss: 0.0001 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 27.90604877471924 secs
Epoch: 16 | Train Loss: 0.0001 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 28.350653886795044 secs
Epoch: 17 | Train Loss: 0.0001 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 27.55436658859253 secs
Epoch: 18 | Train Loss: 0.0001 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 27.674171686172485 secs
Epoch: 19 | Train Loss: 0.0001 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 27.97163701057434 secs
